maintenance_id,asset_id,component_id,component_type,maintenance_date,operating_hours,maintenance_type,issue_detected,failure_type,component_condition,parts_replaced,maintenance_duration_hours,failure_occurred,next_maintenance_due_hours
M00050,A009,A009-BAT,Battery,2024-07-27,593,Preventive,Routine inspection,None,Good,None,4.7,0,1323
M00051,A009,A009-PMP,Fuel Pump,2024-01-02,3809,Preventive,Routine inspection,None,Good,None,1.0,0,4405
M00052,A009,A009-PMP,Fuel Pump,2024-03-12,5593,Corrective,Routine inspection,None,Good,None,4.7,0,6142
M00053,A010,A010-PMP,Fuel Pump,2025-08-14,315,Inspection,Routine inspection,None,Fair,None,5.9,0,534
M00054,A010,A010-PMP,Fuel Pump,2025-01-23,7536,Corrective,Routine inspection,None,Good,None,8.0,0,8117
M00055,A010,A010-PMP,Fuel Pump,2024-05-29,7422,Preventive,Routine inspection,None,Fair,None,10.9,0,8216
M00056,A010,A010-ENG,Engine,2025-09-25,5048,Inspection,Tool Wear indicators detected,Tool Wear,Poor,Valve,11.2,1,5537
M00057,A010,A010-HYD,Hydraulic System,2025-04-27,5326,Corrective,Tool Wear indicators detected,Tool Wear,Degraded,Bearing,1.8,1,5673
M00058,A010,A010-ENG,Engine,2025-02-26,760,Preventive,Routine inspection,None,Good,None,8.3,0,1240
M00059,A011,A011-ENG,Engine,2024-02-26,2071,Preventive,Routine inspection,None,Fair,None,11.2,0,2743
M00060,A011,A011-BAT,Battery,2024-10-08,7625,Preventive,Pressure Drop indicators detected,Pressure Drop,Degraded,Seal,10.2,1,7955
M00061,A011,A011-HYD,Hydraulic System,2025-06-06,7343,Preventive,Routine inspection,None,Fair,None,1.2,0,7791
M00062,A011,A011-PMP,Fuel Pump,2024-01-29,5503,Inspection,Routine inspection,None,Good,None,9.6,0,5951
M00063,A012,A012-PMP,Fuel Pump,2024-01-13,1282,Corrective,Routine inspection,None,Fair,None,7.1,0,1707
M00064,A012,A012-HYD,Hydraulic System,2025-01-31,4374,Inspection,Routine inspection,None,Good,None,10.5,0,4606
M00065,A012,A012-HYD,Hydraulic System,2024-11-07,2042,Corrective,Electrical indicators detected,Electrical,Degraded,Battery,9.2,1,2673
M00066,A012,A012-PMP,Fuel Pump,2024-05-23,3265,Preventive,Routine inspection,None,Good,None,11.7,0,3471
M00067,A012,A012-HYD,Hydraulic System,2025-01-30,6916,Inspection,Routine inspection,None,Good,None,1.6,0,7546
M00068,A012,A012-PMP,Fuel Pump,2025-09-05,2425,Inspection,Electrical indicators detected,Electrical,Poor,Valve,8.5,1,3079
M00069,A012,A012-ENG,Engine,2024-07-16,6878,Preventive,Routine inspection,None,Fair,None,8.2,0,7421
M00070,A013,A013-PMP,Fuel Pump,2024-04-03,5701,Corrective,Routine inspection,None,Good,None,10.4,0,6082
M00071,A013,A013-BAT,Battery,2024-08-06,5794,Inspection,Routine inspection,None,Good,None,6.4,0,6375
M00072,A013,A013-HYD,Hydraulic System,2024-01-22,2669,Preventive,Routine inspection,None,Fair,None,8.5,0,3209
M00073,A013,A013-PMP,Fuel Pump,2025-01-27,4329,Inspection,Routine inspection,None,Good,None,8.6,0,4941
M00074,A013,A013-PMP,Fuel Pump,2024-02-04,1551,Corrective,Routine inspection,None,Good,None,11.5,0,1784
M00075,A014,A014-ENG,Engine,2024-02-10,214,Corrective,Routine inspection,None,Fair,None,6.5,0,828
M00076,A014,A014-HYD,Hydraulic System,2024-04-08,7791,Inspection,Pressure Drop indicators detected,Pressure Drop,Degraded,Pump,11.8,1,8125
M00077,A014,A014-HYD,Hydraulic System,2024-01-17,7497,Corrective,Routine inspection,None,Fair,None,6.1,0,8005
M00078,A014,A014-BAT,Battery,2024-11-21,4641,Preventive,Routine inspection,None,Fair,None,3.1,0,5184
M00079,A014,A014-HYD,Hydraulic System,2024-01-07,971,Inspection,Routine inspection,None,Fair,None,9.0,0,1645
M00080,A014,A014-BAT,Battery,2024-01-29,4732,Corrective,Routine inspection,None,Fair,None,8.9,0,5379
M00081,A015,A015-ENG,Engine,2025-03-01,4297,Corrective,Routine inspection,None,Good,None,11.0,0,4534
M00082,A015,A015-PMP,Fuel Pump,2024-07-30,982,Corrective,Routine inspection,None,Good,None,10.8,0,1345
M00083,A015,A015-PMP,Fuel Pump,2025-04-13,1432,Preventive,Overstrain indicators detected,Overstrain,Degraded,Bearing,10.0,1,1706
M00084,A015,A015-BAT,Battery,2024-12-28,246,Preventive,Overheating indicators detected,Overheating,Degraded,Filter,10.9,1,752
M00085,A015,A015-PMP,Fuel Pump,2024-08-16,7346,Preventive,Routine inspection,None,Fair,None,11.8,0,7792
M00086,A015,A015-BAT,Battery,2025-02-17,7933,Corrective,Routine inspection,None,Fair,None,4.5,0,8366
M00087,A015,A015-BAT,Battery,2025-08-24,5812,Inspection,Routine inspection,None,Good,None,7.8,0,6335
M00088,A016,A016-HYD,Hydraulic System,2024-02-19,5754,Preventive,Routine inspection,None,Good,None,10.5,0,6397
M00089,A016,A016-BAT,Battery,2024-07-26,3458,Corrective,Tool Wear indicators detected,Tool Wear,Poor,Battery,4.6,1,3788
M00090,A016,A016-HYD,Hydraulic System,2025-09-01,7115,Corrective,Electrical indicators detected,Electrical,Degraded,Filter,3.9,1,7408
M00091,A016,A016-ENG,Engine,2025-11-03,5005,Inspection,Routine inspection,None,Fair,None,4.8,0,5373
M00092,A016,A016-BAT,Battery,2024-07-06,3323,Preventive,Routine inspection,None,Good,None,3.2,0,3902
M00093,A017,A017-PMP,Fuel Pump,2024-01-04,3331,Preventive,Routine inspection,None,Good,None,4.9,0,4042
M00094,A017,A017-PMP,Fuel Pump,2024-07-21,2459,Inspection,Routine inspection,None,Fair,None,5.8,0,2857
M00095,A017,A017-BAT,Battery,2025-08-27,4091,Preventive,Routine inspection,None,Good,None,4.7,0,4446
M00096,A017,A017-PMP,Fuel Pump,2024-05-01,4631,Inspection,Routine inspection,None,Fair,None,11.9,0,5009
M00097,A017,A017-PMP,Fuel Pump,2025-09-11,5060,Corrective,Overstrain indicators detected,Overstrain,Degraded,Pump,3.8,1,5309
M00098,A017,A017-ENG,Engine,2024-12-09,1567,Preventive,Tool Wear indicators detected,Tool Wear,Degraded,Battery,5.1,1,2194
M00099,A018,A018-PMP,Fuel Pump,2024-01-13,1808,Preventive,Routine inspection,None,Fair,None,10.3,0,2046
M00100,A018,A018-ENG,Engine,2024-11-05,1340,Corrective,Routine inspection,None,Good,None,10.2,0,1957
M00101,A018,A018-PMP,Fuel Pump,2025-02-22,248,Inspection,Routine inspection,None,Fair,None,9.7,0,669
M00102,A018,A018-PMP,Fuel Pump,2025-01-13,2259,Inspection,Routine inspection,None,Fair,None,2.9,0,2833
M00103,A018,A018-HYD,Hydraulic System,2024-11-03,5181,Corrective,Overstrain indicators detected,Overstrain,Degraded,Battery,2.7,1,5975
M00104,A018,A018-PMP,Fuel Pump,2025-02-10,2862,Inspection,Routine inspection,None,Fair,None,3.3,0,3160
M00105,A018,A018-ENG,Engine,2024-08-02,5447,Corrective,Routine inspection,None,Good,None,5.5,0,5886
M00106,A018,A018-PMP,Fuel Pump,2024-03-10,604,Inspection,Routine inspection,None,Fair,None,11.2,0,1272
M00107,A019,A019-PMP,Fuel Pump,2024-09-15,5422,Preventive,Routine inspection,None,Good,None,3.7,0,6054
M00108,A019,A019-PMP,Fuel Pump,2025-09-01,613,Inspection,Routine inspection,None,Fair,None,4.3,0,1312
M00109,A019,A019-ENG,Engine,2024-11-08,1012,Preventive,Routine inspection,None,Fair,None,5.5,0,1552
M00110,A019,A019-PMP,Fuel Pump,2025-09-21,1591,Preventive,Routine inspection,None,Good,None,10.6,0,2274
M00111,A019,A019-HYD,Hydraulic System,2025-04-29,6960,Preventive,Routine inspection,None,Good,None,9.9,0,7499
M00112,A020,A020-PMP,Fuel Pump,2024-02-20,2180,Preventive,Routine inspection,None,Fair,None,11.6,0,2422
M00113,A020,A020-ENG,Engine,2025-07-27,4393,Corrective,Routine inspection,None,Good,None,9.3,0,4977
M00114,A020,A020-PMP,Fuel Pump,2025-08-20,3525,Preventive,Routine inspection,None,Fair,None,2.1,0,3742
M00115,A020,A020-HYD,Hydraulic System,2024-07-23,7135,Inspection,Routine inspection,None,Fair,None,3.2,0,7922
M00116,A020,A020-PMP,Fuel Pump,2024-04-26,3148,Corrective,Routine inspection,None,Fair,None,3.5,0,3494
M00117,A020,A020-HYD,Hydraulic System,2024-10-15,4089,Preventive,Tool Wear indicators detected,Tool Wear,Poor,Filter,10.1,1,4525
M00118,A020,A020-PMP,Fuel Pump,2024-01-24,193,Inspection,Tool Wear indicators detected,Tool Wear,Poor,Valve,11.9,1,695
M00119,A020,A020-ENG,Engine,2024-05-21,6602,Preventive,Routine inspection,None,Fair,None,4.9,0,6984
M00120,A021,A021-PMP,Fuel Pump,2024-03-30,7625,Inspection,Routine inspection,None,Good,None,4.9,0,8384
M00121,A021,A021-BAT,Battery,2024-09-25,5383,Preventive,Routine inspection,None,Fair,None,9.3,0,5915
M00122,A021,A021-PMP,Fuel Pump,2025-05-31,4158,Inspection,Routine inspection,None,Fair,None,7.0,0,4550
M00123,A021,A021-PMP,Fuel Pump,2025-06-17,4109,Corrective,Routine inspection,None,Good,None,10.3,0,4621
M00124,A021,A021-ENG,Engine,2024-06-21,7634,Inspection,Routine inspection,None,Good,None,5.4,0,7854
M00125,A021,A021-BAT,Battery,2025-02-26,834,Corrective,Electrical indicators detected,Electrical,Degraded,Seal,4.4,1,1089
M00126,A021,A021-PMP,Fuel Pump,2025-06-10,4304,Inspection,Routine inspection,None,Fair,None,11.7,0,4783
M00127,A021,A021-BAT,Battery,2025-09-29,1403,Preventive,Routine inspection,None,Fair,None,10.3,0,2154
M00128,A022,A022-PMP,Fuel Pump,2025-05-18,6591,Inspection,Overstrain indicators detected,Overstrain,Degraded,Seal,8.9,1,6835
M00129,A022,A022-ENG,Engine,2024-10-20,6546,Corrective,Routine inspection,None,Good,None,5.3,0,7045
M00130,A022,A022-PMP,Fuel Pump,2025-01-26,2265,Corrective,Routine inspection,None,Good,None,7.8,0,2849
M00131,A022,A022-PMP,Fuel Pump,2024-07-24,7492,Preventive,Routine inspection,None,Good,None,1.1,0,7906
M00132,A022,A022-HYD,Hydraulic System,2024-04-02,449,Preventive,Tool Wear indicators detected,Tool Wear,Poor,Bearing,3.1,1,1154
M00133,A022,A022-ENG,Engine,2024-08-05,1764,Preventive,Routine inspection,None,Fair,None,5.0,0,2513
M00134,A023,A023-HYD,Hydraulic System,2025-09-14,7077,Preventive,Overheating indicators detected,Overheating,Degraded,Seal,1.2,1,7514
M00135,A023,A023-ENG,Engine,2024-10-28,6925,Corrective,Routine inspection,None,Good,None,10.4,0,7148
M00136,A023,A023-HYD,Hydraulic System,2025-07-26,5862,Corrective,Overheating indicators detected,Overheating,Poor,Battery,9.0,1,6343
M00137,A023,A023-BAT,Battery,2024-02-01,3895,Preventive,Electrical indicators detected,Electrical,Poor,Bearing,8.6,1,4186
M00138,A024,A024-ENG,Engine,2025-07-23,3159,Corrective,Tool Wear indicators detected,Tool Wear,Degraded,Seal,7.7,1,3382
M00139,A024,A024-ENG,Engine,2025-10-16,280,Corrective,Electrical indicators detected,Electrical,Degraded,Seal,10.4,1,739
M00140,A024,A024-PMP,Fuel Pump,2024-04-03,7624,Corrective,Routine inspection,None,Good,None,1.6,0,8238
M00141,A024,A024-PMP,Fuel Pump,2025-09-09,3129,Corrective,Routine inspection,None,Good,None,5.9,0,3648
M00142,A024,A024-HYD,Hydraulic System,2024-05-16,6370,Inspection,Routine inspection,None,Fair,None,3.2,0,7150
M00143,A025,A025-BAT,Battery,2025-06-25,3205,Corrective,Routine inspection,None,Good,None,8.6,0,3579
M00144,A025,A025-BAT,Battery,2024-09-05,3650,Preventive,Overheating indicators detected,Overheating,Poor,Seal,5.8,1,4079
M00145,A025,A025-BAT,Battery,2024-08-28,7939,Inspection,Routine inspection,None,Good,None,7.6,0,8393
M00146,A025,A025-ENG,Engine,2024-11-05,1507,Corrective,Routine inspection,None,Fair,None,1.3,0,1822
M00147,A025,A025-BAT,Battery,2024-04-20,2857,Inspection,Overheating indicators detected,Overheating,Poor,Bearing,8.6,1,3287
M00148,A025,A025-BAT,Battery,2025-05-31,1197,Inspection,Routine inspection,None,Fair,None,2.1,0,1524
M00149,A026,A026-HYD,Hydraulic System,2025-05-16,3535,Corrective,Routine inspection,None,Fair,None,5.5,0,3869
M00150,A026,A026-ENG,Engine,2024-02-03,7199,Corrective,Routine inspection,None,Fair,None,9.7,0,7399
M00151,A026,A026-ENG,Engine,2024-08-31,6157,Preventive,Routine inspection,None,Fair,None,4.6,0,6934
M00152,A026,A026-ENG,Engine,2024-10-17,7682,Preventive,Tool Wear indicators detected,Tool Wear,Poor,Bearing,6.6,1,8268
M00153,A026,A026-HYD,Hydraulic System,2024-05-06,1293,Inspection,Routine inspection,None,Good,None,6.3,0,2034
M00154,A026,A026-BAT,Battery,2024-06-20,1327,Inspection,Electrical indicators detected,Electrical,Degraded,Seal,5.6,1,1904
M00155,A027,A027-ENG,Engine,2025-10-17,2539,Preventive,Routine inspection,None,Fair,None,7.0,0,2970
M00156,A027,A027-ENG,Engine,2025-11-07,6703,Inspection,Tool Wear indicators detected,Tool Wear,Degraded,Battery,8.2,1,7417
M00157,A027,A027-PMP,Fuel Pump,2025-08-09,5466,Inspection,Overheating indicators detected,Overheating,Poor,Battery,9.4,1,6042
M00158,A027,A027-ENG,Engine,2024-03-27,3071,Inspection,Routine inspection,None,Good,None,8.4,0,3485
M00159,A027,A027-HYD,Hydraulic System,2024-10-16,667,Preventive,Routine inspection,None,Good,None,8.4,0,989
M00160,A027,A027-BAT,Battery,2025-10-19,1687,Preventive,Overheating indicators detected,Overheating,Degraded,Valve,8.9,1,2108
M00161,A027,A027-PMP,Fuel Pump,2024-07-23,3759,Preventive,Tool Wear indicators detected,Tool Wear,Poor,Filter,4.5,1,4538
M00162,A028,A028-PMP,Fuel Pump,2024-09-27,6365,Inspection,Routine inspection,None,Fair,None,2.3,0,7004
M00163,A028,A028-HYD,Hydraulic System,2024-07-20,4149,Preventive,Overstrain indicators detected,Overstrain,Poor,Filter,7.5,1,4778
M00164,A028,A028-PMP,Fuel Pump,2025-02-08,392,Corrective,Routine inspection,None,Fair,None,6.3,0,969
M00165,A028,A028-PMP,Fuel Pump,2025-02-11,235,Inspection,Routine inspection,None,Fair,None,3.1,0,727
M00166,A028,A028-BAT,Battery,2025-01-12,7938,Corrective,Routine inspection,None,Fair,None,2.8,0,8630
M00167,A028,A028-HYD,Hydraulic System,2024-05-27,6552,Inspection,Overheating indicators detected,Overheating,Degraded,Pump,7.9,1,7139
M00168,A028,A028-BAT,Battery,2024-06-01,7160,Preventive,Pressure Drop indicators detected,Pressure Drop,Poor,Battery,5.5,1,7603
M00169,A029,A029-PMP,Fuel Pump,2025-10-16,678,Preventive,Routine inspection,None,Fair,None,5.3,0,1313
M00170,A029,A029-ENG,Engine,2024-08-01,1900,Inspection,Routine inspection,None,Fair,None,4.1,0,2575
M00171,A029,A029-PMP,Fuel Pump,2024-05-15,2114,Corrective,Routine inspection,None,Good,None,4.5,0,2666
M00172,A029,A029-PMP,Fuel Pump,2024-08-06,1019,Corrective,Overstrain indicators detected,Overstrain,Poor,Battery,11.8,1,1743
M00173,A030,A030-ENG,Engine,2024-06-20,810,Corrective,Routine inspection,None,Good,None,10.1,0,1601
M00174,A030,A030-HYD,Hydraulic System,2024-12-29,1517,Corrective,Routine inspection,None,Good,None,2.3,0,2248
M00175,A030,A030-ENG,Engine,2025-08-20,1113,Corrective,Overheating indicators detected,Overheating,Degraded,Pump,7.0,1,1420
M00176,A030,A030-PMP,Fuel Pump,2024-09-25,922,Inspection,Electrical indicators detected,Electrical,Degraded,Filter,8.7,1,1610
M00177,A031,A031-PMP,Fuel Pump,2024-12-10,726,Inspection,Routine inspection,None,Fair,None,10.5,0,1025
M00178,A031,A031-HYD,Hydraulic System,2025-01-16,3406,Inspection,Routine inspection,None,Fair,None,3.1,0,3993
M00179,A031,A031-ENG,Engine,2025-06-24,394,Corrective,Routine inspection,None,Good,None,2.7,0,1177
M00180,A031,A031-PMP,Fuel Pump,2025-05-28,6743,Preventive,Routine inspection,None,Fair,None,6.7,0,7466
M00181,A031,A031-BAT,Battery,2025-06-25,5407,Corrective,Routine inspection,None,Fair,None,3.0,0,6033
M00182,A032,A032-HYD,Hydraulic System,2025-08-23,6239,Preventive,Electrical indicators detected,Electrical,Poor,Pump,9.8,1,6523
M00183,A032,A032-ENG,Engine,2024-04-25,2930,Corrective,Routine inspection,None,Fair,None,9.5,0,3538
M00184,A032,A032-ENG,Engine,2025-03-29,2806,Inspection,Routine inspection,None,Fair,None,9.7,0,3268
M00185,A032,A032-HYD,Hydraulic System,2024-12-11,276,Corrective,Routine inspection,None,Fair,None,9.4,0,590
M00186,A032,A032-HYD,Hydraulic System,2025-01-30,134,Preventive,Overstrain indicators detected,Overstrain,Degraded,Valve,9.1,1,667
M00187,A033,A033-ENG,Engine,2024-11-24,5116,Corrective,Electrical indicators detected,Electrical,Poor,Valve,2.0,1,5760
M00188,A033,A033-BAT,Battery,2025-07-01,644,Corrective,Routine inspection,None,Good,None,1.8,0,1259
M00189,A033,A033-BAT,Battery,2024-07-30,3153,Corrective,Pressure Drop indicators detected,Pressure Drop,Poor,Battery,11.7,1,3649
M00190,A033,A033-HYD,Hydraulic System,2024-06-25,7899,Inspection,Overstrain indicators detected,Overstrain,Poor,Valve,5.0,1,8697
M00191,A033,A033-HYD,Hydraulic System,2025-03-17,5596,Preventive,Routine inspection,None,Good,None,10.7,0,6289
M00192,A033,A033-ENG,Engine,2025-08-08,7914,Preventive,Routine inspection,None,Good,None,6.4,0,8709
M00193,A033,A033-ENG,Engine,2024-08-23,6953,Corrective,Routine inspection,None,Fair,None,10.7,0,7412
M00194,A034,A034-ENG,Engine,2025-04-29,1866,Inspection,Routine inspection,None,Good,None,7.5,0,2497
M00195,A034,A034-HYD,Hydraulic System,2025-01-20,7469,Corrective,Routine inspection,None,Good,None,10.5,0,7969
M00196,A034,A034-ENG,Engine,2025-03-10,2311,Corrective,Routine inspection,None,Good,None,4.7,0,2684
M00197,A034,A034-HYD,Hydraulic System,2025-01-29,4710,Preventive,Routine inspection,None,Good,None,11.0,0,5297
M00198,A034,A034-PMP,Fuel Pump,2025-10-27,4990,Corrective,Routine inspection,None,Fair,None,1.3,0,5285
M00199,A034,A034-BAT,Battery,2025-03-21,4140,Inspection,Routine inspection,None,Good,None,11.6,0,4385
M00200,A034,A034-BAT,Battery,2024-02-25,1087,Preventive,Routine inspection,None,Fair,None,8.4,0,1744
M00201,A035,A035-ENG,Engine,2024-04-01,149,Corrective,Routine inspection,None,Fair,None,6.7,0,794
M00202,A035,A035-PMP,Fuel Pump,2024-07-23,363,Inspection,Routine inspection,None,Fair,None,10.4,0,570
M00203,A035,A035-BAT,Battery,2024-05-01,2376,Inspection,Routine inspection,None,Good,None,3.3,0,2944
M00204,A035,A035-PMP,Fuel Pump,2025-06-09,7802,Inspection,Routine inspection,None,Good,None,8.4,0,8387
M00205,A035,A035-PMP,Fuel Pump,2025-07-26,4700,Inspection,Routine inspection,None,Fair,None,2.1,0,5477
M00206,A035,A035-BAT,Battery,2025-08-16,3638,Preventive,Routine inspection,None,Fair,None,4.7,0,4402
M00207,A035,A035-HYD,Hydraulic System,2024-06-25,5707,Inspection,Routine inspection,None,Good,None,1.7,0,5959
M00208,A035,A035-BAT,Battery,2025-11-24,5639,Preventive,Pressure Drop indicators detected,Pressure Drop,Poor,Pump,5.1,1,6381
M00209,A036,A036-BAT,Battery,2024-12-27,7560,Preventive,Overstrain indicators detected,Overstrain,Poor,Valve,9.4,1,8288
M00210,A036,A036-HYD,Hydraulic System,2024-10-24,4718,Preventive,Routine inspection,None,Good,None,10.9,0,5054
M00211,A036,A036-PMP,Fuel Pump,2024-11-16,3151,Inspection,Routine inspection,None,Good,None,3.7,0,3684
M00212,A036,A036-BAT,Battery,2024-04-29,230,Preventive,Electrical indicators detected,Electrical,Degraded,Valve,6.2,1,1012
M00213,A036,A036-ENG,Engine,2024-03-01,5637,Preventive,Routine inspection,None,Good,None,1.3,0,6041
M00214,A036,A036-HYD,Hydraulic System,2024-11-05,2716,Inspection,Overheating indicators detected,Overheating,Degraded,Bearing,2.7,1,3259
M00215,A036,A036-ENG,Engine,2025-10-10,3781,Preventive,Routine inspection,None,Good,None,6.1,0,4301
M00216,A036,A036-HYD,Hydraulic System,2024-08-26,539,Inspection,Routine inspection,None,Fair,None,7.5,0,893
M00217,A037,A037-HYD,Hydraulic System,2024-07-13,3333,Corrective,Electrical indicators detected,Electrical,Poor,Seal,10.0,1,3740
M00218,A037,A037-PMP,Fuel Pump,2024-07-05,7065,Corrective,Pressure Drop indicators detected,Pressure Drop,Poor,Pump,2.8,1,7670
M00219,A037,A037-HYD,Hydraulic System,2024-09-25,5471,Preventive,Overheating indicators detected,Overheating,Poor,Filter,8.1,1,5775
M00220,A037,A037-PMP,Fuel Pump,2025-03-25,2595,Preventive,Routine inspection,None,Fair,None,12.0,0,3346
M00221,A038,A038-BAT,Battery,2024-10-02,169,Inspection,Routine inspection,None,Fair,None,7.9,0,883
M00222,A038,A038-ENG,Engine,2025-01-12,7607,Inspection,Electrical indicators detected,Electrical,Degraded,Battery,3.7,1,8044
M00223,A038,A038-PMP,Fuel Pump,2025-02-02,3242,Inspection,Pressure Drop indicators detected,Pressure Drop,Poor,Seal,3.8,1,3947
M00224,A038,A038-ENG,Engine,2024-03-03,7351,Corrective,Routine inspection,None,Fair,None,10.5,0,7605
