asset_id,timestamp,component_id,component_type,temperature,vibration,oil_pressure,fuel_pressure,rpm,hydraulic_pressure,battery_voltage,coolant_temperature,operating_hours,load_percentage,ambient_temperature,anomaly_label,failure_within_50_hours
A001,11-01-2025 22:00,A001-ENG,Engine,85.282,3.929,67.027,52.429,1898.597,148.927,22.756,82.771,407,55.884,28.886,1,0
A001,12-01-2025 01:00,A001-ENG,Engine,82.939,3.804,68.239,54.034,1674.555,144.185,23.582,82.339,558,70.736,32.232,1,1
A001,12-01-2025 02:00,A001-ENG,Engine,80.031,3.631,70.03,49.834,1717.159,152.948,23.337,79.003,566,60.912,29.439,1,0
A001,12-01-2025 08:00,A001-ENG,Engine,77.592,4.128,73.111,57.796,1674.943,152.433,23.209,83.412,440,60.427,37.34,1,0
A001,12-01-2025 09:00,A001-ENG,Engine,80.146,3.44,69.512,49.247,1877.558,151.354,22.936,82.521,673,71.548,31.641,1,1
A001,12-01-2025 17:00,A001-ENG,Engine,80.148,3.942,71.623,53.803,1825.277,146.672,23.401,83.895,387,81.462,29.496,1,1
A001,12-01-2025 18:00,A001-ENG,Engine,83.035,3.763,68.651,54.288,2056.076,144.976,23.179,81.158,406,70.33,37.722,1,0
A001,12-01-2025 22:00,A001-ENG,Engine,83.388,3.043,68.047,55.558,1964.239,141.562,23.027,82.235,488,88.734,27.536,1,1
A001,13-01-2025 07:00,A001-ENG,Engine,87.197,3.503,71.033,54.072,1859.627,140.223,23.034,79.139,581,94.617,22.026,1,1
A001,13-01-2025 14:00,A001-ENG,Engine,85.921,3.434,70.799,50.667,1772.557,143.464,23.305,81.192,549,83.578,28.771,1,0
A001,13-01-2025 18:00,A001-ENG,Engine,83.28,3.714,69.932,49.818,1713.363,145.578,23.024,81.518,576,74.318,30.305,1,1
A001,13-01-2025 20:00,A001-ENG,Engine,82.561,3.719,69.569,55.522,1690.578,142.852,22.162,81.738,663,72.694,27.45,1,0
A001,13-01-2025 22:00,A001-ENG,Engine,84.546,4.068,71.021,52.236,1850.845,146.809,22.798,86.451,442,73.171,33.879,1,1
A001,13-01-2025 23:00,A001-ENG,Engine,83.274,3.981,71.307,51.382,1849.241,142.878,22.854,85.029,656,83.844,26.468,1,1
A001,14-01-2025 00:00,A001-ENG,Engine,94.296,6.053,56.995,52.484,1890.906,139.391,22.989,80.846,683,84.247,26.167,1,1
A001,14-01-2025 05:00,A001-ENG,Engine,84.176,3.525,64.817,53.704,1990.807,151.596,22.959,82.943,594,83.523,35.611,1,0
A001,14-01-2025 06:00,A001-ENG,Engine,84.794,3.765,69.47,55.375,1908.857,147.935,23.648,82.177,668,89.468,32.713,1,1
A001,14-01-2025 09:00,A001-ENG,Engine,85.952,3.215,72.504,55.615,1766.749,147.155,23.429,82.091,697,83.614,26.644,1,1
A001,14-01-2025 15:00,A001-ENG,Engine,86.234,4.047,67.453,52.851,1757.617,146.029,22.932,79.098,653,86.021,29.594,1,1
A001,14-01-2025 20:00,A001-ENG,Engine,82.116,4.406,69.284,55.05,1752.007,146.829,22.985,79.905,484,88.786,29.324,1,1
A001,14-01-2025 23:00,A001-ENG,Engine,78.524,3.862,66.88,52.69,1703.004,147.509,23.002,86.176,577,77.601,26.157,1,0
A001,15-01-2025 08:00,A001-ENG,Engine,81.047,4.135,67.415,53.057,1779.528,147.705,23.009,77.454,607,79.54,33.211,1,0
A001,15-01-2025 11:00,A001-ENG,Engine,86.136,3.936,69.055,53.512,1789.589,146.421,22.589,86.269,524,69.175,27.839,1,1
A001,15-01-2025 12:00,A001-ENG,Engine,82.645,3.731,73.317,46.765,1709.754,156.575,23.163,81.488,690,78.024,30.337,1,1
A001,15-01-2025 13:00,A001-ENG,Engine,82.99,4.203,67.405,50.316,1641.608,139.377,22.639,81.369,539,80.928,24.003,1,1
A001,15-01-2025 15:00,A001-ENG,Engine,85.467,3.779,69.474,52.2,1721.917,145.894,22.73,81.885,678,65.565,28.207,1,0
A001,16-01-2025 00:00,A001-ENG,Engine,88.672,4.039,62.305,51.619,1858.855,144.552,23.17,82.3,798,68.661,29.643,1,0
A001,16-01-2025 02:00,A001-ENG,Engine,82.528,4.099,71.006,51.39,1761.652,145.576,23.104,84.021,616,87.026,27.69,1,1
A001,16-01-2025 14:00,A001-ENG,Engine,82.83,3.789,70.217,52.704,1756.07,142.727,22.922,83.531,613,71.11,28.337,1,1
A001,16-01-2025 15:00,A001-ENG,Engine,87.592,3.067,67.514,50.947,1813.336,147.559,23.269,82.95,778,84.739,30.979,1,1
A001,16-01-2025 22:00,A001-ENG,Engine,84.134,4.035,73.275,51.58,1911.496,145.381,22.999,84.69,754,87.267,26.572,1,1
A001,17-01-2025 05:00,A001-ENG,Engine,83.793,3.417,65.602,54.115,2000.861,148.043,22.801,83.861,802,73.27,40.299,1,1
A002,01-01-2025 00:00,A002-ENG,Engine,72.675,2.59,74.393,55.507,1862.522,143.894,23.771,73.319,151,47.507,38.139,0,0
A002,01-01-2025 02:00,A002-ENG,Engine,71.141,1.426,78.981,53.648,1693.22,155.711,24.17,74.99,420,42.94,31.481,0,0
A002,01-01-2025 11:00,A002-ENG,Engine,66.468,2.612,80.563,56.716,1850.231,149.218,23.595,74.995,338,40.219,32.431,0,0
A002,01-01-2025 16:00,A002-ENG,Engine,72.858,1.902,81.024,54.559,1673.104,151.621,24.028,74.945,260,48.034,26.405,0,0
A002,01-01-2025 19:00,A002-ENG,Engine,75.41,3.067,79.961,52.21,1730.412,151.799,24.412,73.049,332,47.526,30.98,0,0
A002,01-01-2025 22:00,A002-ENG,Engine,70.605,2.798,82.138,56.101,1834.062,149.373,23.493,75.118,394,49.519,31.147,0,0
A002,02-01-2025 10:00,A002-ENG,Engine,72.394,1.955,78.072,55.389,1493.216,159.22,24.096,74.659,520,64.877,28.263,0,0
A002,02-01-2025 13:00,A002-ENG,Engine,69.404,2.4,84.164,55.133,1730.195,151.179,23.724,73.137,155,55.254,35.589,0,0
A002,02-01-2025 18:00,A002-ENG,Engine,75.326,2.702,81.396,52.611,1843.437,147.045,23.297,75.475,292,60.556,32.304,0,0
A002,02-01-2025 21:00,A002-ENG,Engine,73.212,2.452,78.451,54.007,1785.408,149.979,24.466,75.646,258,50.567,25.673,0,0
A002,02-01-2025 22:00,A002-ENG,Engine,72.666,2.498,77.918,55.711,1828.257,149.658,23.91,77.054,485,47.855,28.788,0,0
A002,03-01-2025 01:00,A002-ENG,Engine,66.565,2.552,73.722,55.486,1781.391,149.907,23.534,77.786,195,38.809,36.208,0,0
A002,03-01-2025 12:00,A002-ENG,Engine,75.12,2.696,75.915,56.547,1796.032,147.952,23.572,75.38,476,65.022,31.537,0,0
A002,03-01-2025 14:00,A002-ENG,Engine,75.142,2.687,77.321,53.962,1669.347,152.352,23.986,79.122,173,49.522,29.291,0,0
A002,03-01-2025 21:00,A002-ENG,Engine,71.284,2.808,80.327,54.9,1868.504,147.983,23.79,75.402,251,58.878,26.533,0,0
A002,03-01-2025 23:00,A002-ENG,Engine,72.48,1.93,75.21,53.406,1902.225,148.98,23.617,79.228,474,64.18,36.277,0,0
A002,04-01-2025 05:00,A002-ENG,Engine,74.463,3.03,82.553,54.299,1752.086,145.358,24.111,74.181,195,50.125,30.513,0,0
A002,04-01-2025 07:00,A002-ENG,Engine,73.223,2.335,75.533,55.652,1727.595,145.071,24.179,77.684,309,50.391,33.207,0,0
A002,04-01-2025 08:00,A002-ENG,Engine,78.354,2.222,81.512,54.022,1872.639,151.937,24.161,75.319,239,60.938,39.232,0,1
A002,04-01-2025 09:00,A002-ENG,Engine,72.342,3.027,75.092,52.508,1944.981,151.486,24.499,76.124,386,53.406,26.697,0,0
A002,04-01-2025 10:00,A002-ENG,Engine,74.046,2.412,76.606,52.595,1865.494,144.291,23.933,81.199,280,64.342,22.474,0,1
A002,04-01-2025 15:00,A002-ENG,Engine,73.807,2.884,77.255,54.414,1954.942,155.4,23.736,76.268,275,64.476,34.002,0,0
A002,04-01-2025 18:00,A002-ENG,Engine,88.82,4.791,68.244,57.773,1859.593,128.381,23.706,77.193,218,46.815,26.154,1,1
A002,05-01-2025 00:00,A002-ENG,Engine,74.812,2.327,80.456,55.462,1905.306,144.756,23.582,74.915,496,47.692,36.261,0,0
A002,05-01-2025 01:00,A002-ENG,Engine,73.497,2.693,72.883,51.066,1844.066,140.991,23.553,77.749,341,56.721,29.291,0,0
A002,05-01-2025 05:00,A002-ENG,Engine,73.181,2.316,75.567,54.92,1767.775,146.922,23.229,77.68,453,52.196,28.392,0,0
A002,05-01-2025 06:00,A002-ENG,Engine,75.22,2.423,75.765,52.147,1746.616,148.804,23.419,77.742,582,45.985,21.695,0,0
A002,05-01-2025 10:00,A002-ENG,Engine,75.055,2.091,78.661,53.209,1702.149,147.518,23.519,77,250,61.556,26.073,0,0
A002,05-01-2025 14:00,A002-ENG,Engine,77.778,2.721,77.847,53.561,1859.461,148.563,23.541,79.142,451,53.056,26.008,0,0
A002,05-01-2025 20:00,A002-ENG,Engine,73.936,2.207,82.767,56.248,1824.578,153.238,22.959,72.785,319,51.389,23.107,0,0
A002,05-01-2025 21:00,A002-ENG,Engine,71.442,2.703,76.918,54.818,1753.221,154.07,23.613,81.473,573,48.323,33.714,0,0
A002,05-01-2025 23:00,A002-ENG,Engine,74.538,2.469,78.045,52.936,1813.219,142.743,24.023,77.766,260,64.041,28.994,0,0
A002,06-01-2025 01:00,A002-ENG,Engine,76.893,2.21,75.866,51.329,1884.724,148.118,23.339,78.21,245,45.267,24.833,0,0
A002,06-01-2025 07:00,A002-ENG,Engine,71.483,3.44,79.4,54.466,1928.257,143.738,23.518,81.064,533,40.334,32.802,0,0
A002,06-01-2025 08:00,A002-ENG,Engine,78.642,2.409,75.545,51.596,1702.093,150.014,23.227,79.681,525,50.029,23.935,0,0
A002,06-01-2025 10:00,A002-ENG,Engine,71.041,2.4,75.62,53.238,1813.669,145.729,24.127,79.226,391,49.001,30.473,0,0
A002,06-01-2025 17:00,A002-ENG,Engine,74.544,2.785,77.344,55.137,1850.515,144.36,23.936,80.759,271,57.384,22.529,0,0
A002,06-01-2025 20:00,A002-ENG,Engine,74.45,2.496,80.445,55.083,1887.569,149.99,23.424,79.723,258,65.757,30.674,0,0
A002,06-01-2025 22:00,A002-ENG,Engine,74.683,2.629,75.526,52.958,1938.965,153.769,23.73,78.335,377,61.161,30.369,0,0
A002,07-01-2025 01:00,A002-ENG,Engine,75.227,2.563,73.502,54.268,1762.606,144.377,23.047,75.497,560,53.424,29.575,0,0
A002,07-01-2025 04:00,A002-ENG,Engine,71.937,2.829,78.528,52.887,1712.794,146.253,23.218,78.498,547,57.4,28.47,0,1
A002,07-01-2025 23:00,A002-ENG,Engine,76.364,2.496,71.287,52.145,1732.612,144.82,23.839,76.748,279,60.179,30.791,0,0
A002,08-01-2025 01:00,A002-ENG,Engine,75.055,2.53,72.097,56.837,1837.927,149.7,24.584,79.875,484,47.477,29.02,0,0
A002,08-01-2025 04:00,A002-ENG,Engine,77.324,1.86,77.386,52.594,1840.777,147.793,23.417,79.096,635,57.904,36.722,0,0
A002,08-01-2025 06:00,A002-ENG,Engine,72.745,2.772,73.035,52.904,1883.277,148.842,22.959,81.053,391,58.151,27.289,0,0
A002,08-01-2025 11:00,A002-ENG,Engine,74.175,3.111,74.089,51.918,1751.185,152.062,23.417,78.086,481,65.93,40.714,0,0
A002,08-01-2025 12:00,A002-ENG,Engine,74.664,2.809,72.416,53.24,1743.643,146.138,23.198,78.926,576,62.841,29.403,0,1
A002,08-01-2025 18:00,A002-ENG,Engine,76.823,2.111,75.469,54.228,1774.527,149.776,23.52,78.567,535,43.469,30.667,0,1
A002,08-01-2025 22:00,A002-ENG,Engine,73.036,2.359,77.572,51.054,1835.282,148.082,23.562,80.693,425,51.739,25.122,0,0
A002,09-01-2025 02:00,A002-ENG,Engine,74.742,2.912,75.376,53.077,1892.484,143.169,23.054,77.802,685,56.576,23.857,0,0
A002,09-01-2025 03:00,A002-ENG,Engine,78.812,2.835,77.979,53.147,1797.822,145.311,23.413,81.299,553,56.23,32.592,0,0
A002,09-01-2025 06:00,A002-ENG,Engine,73.191,2.472,68.921,54.706,1776.436,146.876,22.814,77.754,670,55.885,26.638,0,0
A002,09-01-2025 08:00,A002-ENG,Engine,74.956,3.256,73.389,52.418,1831.035,149.873,23.669,79.821,442,64.062,33.728,0,1
A002,09-01-2025 10:00,A002-ENG,Engine,76.343,2.115,71.328,57.589,1701.672,153.183,23.067,79.685,510,64.96,25.899,0,0
A002,09-01-2025 12:00,A002-ENG,Engine,77.263,2.864,74.971,53.29,1766.907,148.009,23.163,85.414,532,48.809,27.076,0,0
A002,09-01-2025 15:00,A002-ENG,Engine,74.662,3.116,77.445,55.278,1819.337,147.94,23.563,80.783,472,64.602,31.02,0,0
A002,09-01-2025 17:00,A002-ENG,Engine,77.984,3.217,75.58,54.543,1771.591,147.851,23.152,82.752,686,72.568,36.9,0,0
A002,09-01-2025 20:00,A002-ENG,Engine,78.673,3.079,73.976,55.84,2162.324,150.115,23.399,77.704,513,55.483,28.931,0,0
A002,10-01-2025 00:00,A002-ENG,Engine,79.708,2.484,74.598,53.302,1778.063,149.076,23.574,81.185,542,59.418,26.321,0,0
A002,10-01-2025 03:00,A002-ENG,Engine,78.393,3.137,74.529,50.931,1958.225,142.983,23.574,80.875,545,65.827,38.534,0,0
A002,10-01-2025 06:00,A002-ENG,Engine,75.89,2.641,79.223,55.147,1762.124,149.53,22.859,79.205,434,62.047,32.261,0,0
A002,10-01-2025 08:00,A002-ENG,Engine,74.656,3.423,75.209,51.981,1784.988,145.092,23.787,80.196,497,62.576,32.869,0,0
A002,10-01-2025 10:00,A002-ENG,Engine,79.093,3.368,73.935,51.319,1771.711,150.023,23.464,81.457,439,59.743,28.131,0,0
A002,10-01-2025 14:00,A002-ENG,Engine,79.038,2.91,75.217,51.725,1877.795,142.371,24.096,85.226,658,74.77,36.377,0,1
A002,10-01-2025 15:00,A002-ENG,Engine,89.816,6.792,64.507,53.205,1689.733,137.584,22.67,82.665,404,48.944,31.434,1,0
A002,10-01-2025 20:00,A002-ENG,Engine,73.699,3.363,74.283,54.809,1862.122,143.957,22.972,82.211,627,59.657,34.682,0,0
A002,11-01-2025 01:00,A002-ENG,Engine,78.752,3.554,74.915,49.926,1818.288,155.163,22.826,81.084,651,60.585,30.479,0,1
A002,11-01-2025 02:00,A002-ENG,Engine,81.231,2.991,73.507,51.847,1636.462,148.078,23.993,81.966,672,67.952,27.935,0,0
A002,11-01-2025 05:00,A002-ENG,Engine,82.005,2.93,74.189,58.113,1782.472,149.162,23.491,82.588,395,64.962,30.969,0,1
A002,11-01-2025 14:00,A002-ENG,Engine,82.727,2.873,69.554,54.094,1770.194,146.301,23.433,80.437,592,61.057,29.499,0,0
A002,11-01-2025 16:00,A002-ENG,Engine,90.854,5.148,67.598,53.152,1867.563,133.146,23.76,83.654,705,62.385,29.01,1,0
A002,11-01-2025 18:00,A002-ENG,Engine,80.121,3.5,73.235,55.47,1677.24,141.221,22.801,81.468,671,73.077,26.989,0,0
A002,11-01-2025 21:00,A002-ENG,Engine,78.242,3.015,71.832,54.623,1934.073,144.511,23.411,82.389,407,63.71,22.367,0,0
A002,12-01-2025 05:00,A002-ENG,Engine,77.813,2.607,75.157,49,1706.738,144.337,23.474,84.316,395,72.968,29.234,0,0
A002,12-01-2025 06:00,A002-ENG,Engine,81.962,3.299,70.849,51.924,1974.043,140.958,22.788,83.635,383,60.759,24.091,0,1
A002,12-01-2025 07:00,A002-ENG,Engine,76.043,3.857,73.741,55.762,1880.427,144.529,23.007,84.668,499,75.971,20.615,0,1
A002,12-01-2025 09:00,A002-ENG,Engine,77.523,3.086,75.562,50.477,1864.017,148.921,23.625,83.605,595,74.796,29.448,0,0
A002,12-01-2025 10:00,A002-ENG,Engine,75.431,3.35,77.805,53.324,1889.937,138.592,23.003,78.102,519,70.701,22.264,0,0
A002,12-01-2025 11:00,A002-ENG,Engine,78.63,3.355,75.067,52.507,1701.477,148.822,23.39,83.663,718,67.017,24.158,0,0
A002,12-01-2025 13:00,A002-ENG,Engine,78.907,3.556,77.66,51.181,1957.678,137.626,23.04,81.091,515,73.864,36.492,0,0
A002,12-01-2025 15:00,A002-ENG,Engine,78.41,3.297,70.818,53.553,1680.234,146.23,22.754,79.739,577,77.936,30.296,0,0
A002,12-01-2025 18:00,A002-ENG,Engine,83.125,2.822,72.655,54.196,1933.406,145.677,23.012,82.193,773,59.937,27.131,0,0
A002,12-01-2025 22:00,A002-ENG,Engine,80.429,3.565,71.84,54.691,1881.426,152.477,22.558,80.336,634,71.793,16.743,0,1
A002,13-01-2025 01:00,A002-ENG,Engine,80.592,2.942,73.84,51.177,1837.843,148.449,22.654,82.575,490,64.455,32.723,0,0
A002,13-01-2025 05:00,A002-ENG,Engine,83.766,3.005,76.566,51.334,1899.806,151.271,23.018,85.647,701,69.398,25.614,0,0
A002,13-01-2025 07:00,A002-ENG,Engine,83.553,2.96,71.098,53.922,1743.927,145.238,23.422,81.287,662,50.047,23.495,0,1
A002,13-01-2025 12:00,A002-ENG,Engine,83.021,4.381,76.272,51.619,1856.68,148.943,22.776,79.978,509,65.577,34.039,1,1
A002,13-01-2025 14:00,A002-ENG,Engine,79.044,3.643,72.731,50.806,1648.106,145.537,22.65,79.85,784,70.428,21.112,0,0
A002,13-01-2025 17:00,A002-ENG,Engine,79.326,3.525,73.586,51.65,1748.579,148.731,22.246,84.22,438,51.404,22.923,0,1
A002,13-01-2025 18:00,A002-ENG,Engine,81.724,3.397,68.447,53.019,1750.57,142.908,23.136,81.708,800,73.413,20.32,1,0
